index,Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22
5,Abdul Samad,All-Rounder,2000000,Sunrisers Hyderabad,2020.0,Indian,19.0,IND,0,0,0,0,0,0,1,0,0
6,Abhijeet Tomar,Batsman,4000000,Kolkata Knight Riders,2022.0,Indian,27.0,IND,0,0,0,0,0,0,0,0,1
7,Abhimanyu Mithun,Bowler,3000000,Mumbai Indians,2015.0,Indian,26.0,IND,0,1,0,0,0,0,0,0,0
8,Abhimanyu Mithun,Bowler,3000000,Sunrisers Hyderabad,2016.0,Indian,27.0,IND,0,0,1,0,0,0,0,0,0
9,Abhishek Sharma,All-Rounder,5500000,Delhi Daredevils,2018.0,Indian,24.0,IND,0,0,0,0,1,0,0,0,0
10,Abhishek Sharma,All-Rounder,65000000,Sunrisers Hyderabad,2022.0,Indian,28.0,IND,0,0,0,0,0,0,0,0,1
15,Aditya Garhwal,All-Rounder,2500000,Kolkata Knight Riders,2015.0,Indian,19.0,IND,0,1,0,0,0,0,0,0,0
16,Aditya Tare,Wicket Keeper,16000000,Mumbai Indians,2014.0,Indian,27.0,IND,1,0,0,0,0,0,0,0,0
17,Aditya Tare,Wicket Keeper,12000000,Sunrisers Hyderabad,2016.0,Indian,29.0,IND,0,0,1,0,0,0,0,0,0
18,Aditya Tare,Wicket Keeper,2500000,Delhi Daredevils,2017.0,Indian,30.0,IND,0,0,0,1,0,0,0,0,0
19,Aditya Tare,Wicket Keeper,2000000,Mumbai Indians,2018.0,Indian,31.0,IND,0,0,0,0,1,0,0,0,0
20,Agnivesh Ayachi,All-Rounder,2000000,Kings XI Punjab,2019.0,Indian,24.0,IND,0,0,0,0,0,1,0,0,0
23,Ajinkya Rahane,Batsman,40000000,Rajasthan Royals,2018.0,Indian,30.0,IND,0,0,0,0,1,0,0,0,0
24,Ajinkya Rahane,Batsman,10000000,Kolkata Knight Riders,2022.0,Indian,34.0,IND,0,0,0,0,0,0,0,0,1
25,Akash Deep,Bowler,2000000,Royal Challengers Bangalore,2022.0,Indian,26.0,IND,0,0,0,0,0,0,0,0,1
27,Akshay Karnewar,All-Rounder,1000000,Royal Challengers Bangalore,2016.0,Indian,24.0,IND,0,0,1,0,0,0,0,0,0
28,Akshay Wakhare,Bowler,1000000,Mumbai Indians,2015.0,Indian,30.0,IND,0,1,0,0,0,0,0,0,0
29,Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2016.0,Indian,23.0,IND,0,0,1,0,0,0,0,0,0
30,Akshdeep Nath,All-Rounder,1000000,Gujarat Lions,2017.0,Indian,24.0,IND,0,0,0,1,0,0,0,0,0
31,Akshdeep Nath,All-Rounder,10000000,Kings XI Punjab,2018.0,Indian,25.0,IND,0,0,0,0,1,0,0,0,0
32,Akshdeep Nath,All-Rounder,36000000,Royal Challengers Bangalore,2019.0,Indian,26.0,IND,0,0,0,0,0,1,0,0,0
38,Ambati Rayudu,Wicket Keeper,22000000,Chennai Super Kings,2018.0,Indian,33.0,IND,0,0,0,0,1,0,0,0,0
39,Ambati Rayudu,Wicket Keeper,67500000,Chennai Super Kings,2022.0,Indian,37.0,IND,0,0,0,0,0,0,0,0,1
40,Amit Mishra,Bowler,1000000,Rajasthan Royals,2014.0,Indian,26.0,IND,1,0,0,0,0,0,0,0,0
41,Amit Mishra,Bowler,47500000,Sunrisers Hyderabad,2014.0,Indian,26.0,IND,1,0,0,0,0,0,0,0,0
42,Amit Mishra,Bowler,35000000,Delhi Daredevils,2015.0,Indian,27.0,IND,0,1,0,0,0,0,0,0,0
43,Amit Mishra,Bowler,1000000,Gujarat Lions,2016.0,Indian,28.0,IND,0,0,1,0,0,0,0,0,0
44,Amit Mishra,Bowler,40000000,Delhi Daredevils,2018.0,Indian,30.0,IND,0,0,0,0,1,0,0,0,0
45,Amit Paunikar,Wicket Keeper,2000000,Sunrisers Hyderabad,2014.0,Indian,26.0,IND,1,0,0,0,0,0,0,0,0
53,Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017.0,Indian,27.0,IND,0,0,0,1,0,0,0,0,0
54,Aniket Choudhary,Bowler,3000000,Royal Challengers Bangalore,2018.0,Indian,28.0,IND,0,0,0,0,1,0,0,0,0
55,Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016.0,Indian,25.0,IND,0,0,1,0,0,0,0,0,0
56,Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018.0,Indian,27.0,IND,0,0,0,0,1,0,0,0,0
57,Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016.0,Indian,23.0,IND,0,0,1,0,0,0,0,0,0
58,Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018.0,Indian,25.0,IND,0,0,0,0,1,0,0,0,0
59,Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022.0,Indian,29.0,IND,0,0,0,0,0,0,0,0,1
60,Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014.0,Indian,19.0,IND,1,0,0,0,0,0,0,0,0
61,Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015.0,Indian,20.0,IND,0,1,0,0,0,0,0,0,0
62,Ankush Bains,Wicket Keeper,1000000,Rising Pune Supergiant,2016.0,Indian,21.0,IND,0,0,1,0,0,0,0,0,0
63,Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019.0,Indian,24.0,IND,0,0,0,0,0,1,0,0,0
64,Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019.0,Indian,21.0,IND,0,0,0,0,0,1,0,0,0
65,Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022.0,Indian,24.0,IND,0,0,0,0,0,0,0,0,1
67,Ansh Patel,All-Rounder,2000000,Punjab Kings,2022.0,Indian,20.0,IND,0,0,0,0,0,0,0,0,1
68,Anuj Rawat,Wicket Keeper,8000000,Rajasthan Royals,2020.0,Indian,21.0,IND,0,0,0,0,0,0,1,0,0
69,Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022.0,Indian,23.0,IND,0,0,0,0,0,0,0,0,1
70,Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018.0,Indian,20.0,IND,0,0,0,0,1,0,0,0,0
71,Anukul Roy,All-Rounder,2000000,Kolkata Knight Riders,2022.0,Indian,24.0,IND,0,0,0,0,0,0,0,0,1
72,Anureet Singh,Bowler,2000000,Kings XI Punjab,2014.0,Indian,26.0,IND,1,0,0,0,0,0,0,0,0
73,Anureet Singh,Bowler,3000000,Rajasthan Royals,2018.0,Indian,30.0,IND,0,0,0,0,1,0,0,0,0
74,Arjun Tendulkar,All-Rounder,2000000,Mumbai Indians,2021.0,Indian,22.0,IND,0,0,0,0,0,0,0,1,0
75,Arjun Tendulkar,All-Rounder,3000000,Mumbai Indians,2022.0,Indian,23.0,IND,0,0,0,0,0,0,0,0,1
76,Arshdeep Singh,Bowler,2000000,Kings XI Punjab,2019.0,Indian,20.0,IND,0,0,0,0,0,1,0,0,0
77,Aryan Juyal,Wicket Keeper,2000000,Mumbai Indians,2022.0,Indian,21.0,IND,0,0,0,0,0,0,0,0,1
78,Ashish Nehra,Bowler,20000000,Chennai Super Kings,2014.0,Indian,35.0,IND,1,0,0,0,0,0,0,0,0
