Player,Role,Amount,Team,Year,Player Origin,Player Age,Country,y14,y15,y16,y17,y18,y19,y20,y21,y22,fcode
Aaron Finch,Batsman,40000000,Sunrisers Hyderabad,2014.0,Overseas,28.0,5.0,1,0,0,0,0,0,0,0,0,0
Aaron Finch,Batsman,32000000,Mumbai Indians,2015.0,Overseas,29.0,5.0,0,1,0,0,0,0,0,0,0,0
Aaron Finch,Batsman,10000000,Gujarat Lions,2016.0,Overseas,30.0,5.0,0,0,1,0,0,0,0,0,0,0
Aaron Finch,Batsman,62000000,Kings XI Punjab,2018.0,Overseas,32.0,5.0,0,0,0,0,1,0,0,0,0,0
Aaron Finch,Batsman,44000000,Royal Challengers Bangalore,2020.0,Overseas,34.0,5.0,0,0,0,0,0,0,1,0,0,0
Adam Milne,Bowler,7000000,Royal Challengers Bangalore,2015.0,Overseas,23.0,4.0,0,1,0,0,0,0,0,0,0,1
Adam Milne,Bowler,32000000,Mumbai Indians,2021.0,Overseas,29.0,4.0,0,0,0,0,0,0,0,1,0,1
Adam Milne,Bowler,19000000,Chennai Super Kings,2022.0,Overseas,30.0,4.0,0,0,0,0,0,0,0,0,1,1
Adam Zampa,Bowler,3000000,Rising Pune Supergiant,2016.0,Overseas,24.0,5.0,0,0,1,0,0,0,0,0,0,2
Aiden Blizzard,Batsman,3000000,Mumbai Indians,2015.0,Overseas,31.0,5.0,0,1,0,0,0,0,0,0,0,3
Aiden Markram,Batsman,26000000,Sunrisers Hyderabad,2022.0,Overseas,28.0,3.5,0,0,0,0,0,0,0,0,1,4
Akila Dananjaya,All-Rounder,1500000,Chennai Super Kings,2013.0,Overseas,20.0,2.0,0,0,0,0,0,0,0,0,0,5
Albie Morkel,All-Rounder,24000000,Royal Challengers Bangalore,2014.0,Overseas,33.0,3.5,1,0,0,0,0,0,0,0,0,6
Albie Morkel,All-Rounder,3000000,Delhi Daredevils,2015.0,Overseas,34.0,3.5,0,1,0,0,0,0,0,0,0,6
Alex Carey,Wicket Keeper,24000000,Delhi Capitals,2020.0,Overseas,29.0,5.0,0,0,0,0,0,0,1,0,0,7
Alex Hales,Batsman,15000000,Kolkata Knight Riders,2022.0,Overseas,33.0,4.5,0,0,0,0,0,0,0,0,1,8
Alzarri Joseph,Bowler,24000000,Gujarat Titans,2022.0,Overseas,26.0,4.0,0,0,0,0,0,0,0,0,1,9
Andre Russell,All-Rounder,6000000,Kolkata Knight Riders,2014.0,Overseas,26.0,4.0,1,0,0,0,0,0,0,0,0,10
Andrew Tye,Bowler,2000000,Chennai Super Kings,2015.0,Overseas,29.0,5.0,0,1,0,0,0,0,0,0,0,11
Andrew Tye,All-Rounder,5000000,Gujarat Lions,2016.0,Overseas,30.0,5.0,0,0,1,0,0,0,0,0,0,11
Andrew Tye,Bowler,72000000,Kings XI Punjab,2018.0,Overseas,32.0,5.0,0,0,0,0,1,0,0,0,0,11
Andrew Tye,Bowler,10000000,Rajasthan Royals,2020.0,Overseas,34.0,5.0,0,0,0,0,0,0,1,0,0,11
Angelo Mathews,All-Rounder,75000000,Delhi Daredevils,2015.0,Overseas,28.0,2.0,0,1,0,0,0,0,0,0,0,12
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017.0,Overseas,30.0,2.0,0,0,0,1,0,0,0,0,0,12
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019.0,Overseas,26.0,3.5,0,0,0,0,0,1,0,0,0,13
Ashton Turner,All-Rounder,5000000,Rajasthan Royals,2019.0,Indian,26.0,5.0,0,0,0,0,0,1,0,0,0,14
Ben Cutting,Bowler,8000000,Rajasthan Royals,2014.0,Overseas,27.0,5.0,1,0,0,0,0,0,0,0,0,15
Ben Cutting,All-Rounder,5000000,Sunrisers Hyderabad,2016.0,Overseas,29.0,5.0,0,0,1,0,0,0,0,0,0,15
Ben Cutting,All-Rounder,22000000,Mumbai Indians,2018.0,Overseas,31.0,5.0,0,0,0,0,1,0,0,0,0,15
Ben Cutting,All-Rounder,7500000,Kolkata Knight Riders,2021.0,Overseas,34.0,5.0,0,0,0,0,0,0,0,1,0,15
Ben Dunk,Wicket Keeper,2000000,Mumbai Indians,2014.0,Overseas,27.0,5.0,1,0,0,0,0,0,0,0,0,16
Ben Dwarshuis,Bowler,14000000,Kings XI Punjab,2018.0,Overseas,24.0,5.0,0,0,0,0,1,0,0,0,0,17
Ben Hilfenhaus,Bowler,10000000,Chennai Super Kings,2014.0,Overseas,31.0,5.0,1,0,0,0,0,0,0,0,0,18
Ben Laughlin,Bowler,1500000,Chennai Super Kings,2013.0,Overseas,31.0,5.0,0,0,0,0,0,0,0,0,0,19
Ben Laughlin,Bowler,3000000,Sunrisers Hyderabad,2017.0,Overseas,35.0,5.0,0,0,0,1,0,0,0,0,0,19
Ben Laughlin,Bowler,5000000,Rajasthan Royals,2018.0,Overseas,36.0,5.0,0,0,0,0,1,0,0,0,0,19
Benny Howell,All-Rounder,4000000,Punjab Kings,2022.0,Overseas,34.0,4.5,0,0,0,0,0,0,0,0,1,20
